Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026244,South Holland 001C,7,Lives rent free,0
E01026245,South Holland 010A,-8,Does not apply,0
E01026245,South Holland 010A,0,Owned: Owns outright,560
E01026245,South Holland 010A,1,Owned: Owns with a mortgage or loan,297
E01026245,South Holland 010A,2,Shared ownership: Shared ownership,14
E01026245,South Holland 010A,3,Social rented: Rents from council or Local Authority,45
E01026245,South Holland 010A,4,Social rented: Other social rented,2
E01026245,South Holland 010A,5,Private rented: Private landlord or letting agency,129
E01026245,South Holland 010A,6,Private rented: Other private rented,28
E01026245,South Holland 010A,7,Lives rent free,3
E01026246,South Holland 002A,-8,Does not apply,0
E01026246,South Holland 002A,0,Owned: Owns outright,477
E01026246,South Holland 002A,1,Owned: Owns with a mortgage or loan,268
E01026246,South Holland 002A,2,Shared ownership: Shared ownership,1
E01026246,South Holland 002A,3,Social rented: Rents from council or Local Authority,116
E01026246,South Holland 002A,4,Social rented: Other social rented,11
E01026246,South Holland 002A,5,Private rented: Private landlord or letting agency,79
E01026246,South Holland 002A,6,Private rented: Other private rented,29
E01026246,South Holland 002A,7,Lives rent free,0
E01026247,South Holland 001D,-8,Does not apply,0
E01026247,South Holland 001D,0,Owned: Owns outright,426
E01026247,South Holland 001D,1,Owned: Owns with a mortgage or loan,222
E01026247,South Holland 001D,2,Shared ownership: Shared ownership,3
E01026247,South Holland 001D,3,Social rented: Rents from council or Local Authority,71
E01026247,South Holland 001D,4,Social rented: Other social rented,12
E01026247,South Holland 001D,5,Private rented: Private landlord or letting agency,84
E01026247,South Holland 001D,6,Private rented: Other private rented,23
E01026247,South Holland 001D,7,Lives rent free,1
E01026248,South Holland 002B,-8,Does not apply,0
E01026248,South Holland 002B,0,Owned: Owns outright,406
E01026248,South Holland 002B,1,Owned: Owns with a mortgage or loan,289
E01026248,South Holland 002B,2,Shared ownership: Shared ownership,3
E01026248,South Holland 002B,3,Social rented: Rents from council or Local Authority,86
E01026248,South Holland 002B,4,Social rented: Other social rented,23
E01026248,South Holland 002B,5,Private rented: Private landlord or letting agency,109
E01026248,South Holland 002B,6,Private rented: Other private rented,28
E01026248,South Holland 002B,7,Lives rent free,0
E01026249,South Holland 010B,-8,Does not apply,0
E01026249,South Holland 010B,0,Owned: Owns outright,440
E01026249,South Holland 010B,1,Owned: Owns with a mortgage or loan,279
E01026249,South Holland 010B,2,Shared ownership: Shared ownership,7
E01026249,South Holland 010B,3,Social rented: Rents from council or Local Authority,39
E01026249,South Holland 010B,4,Social rented: Other social rented,5
E01026249,South Holland 010B,5,Private rented: Private landlord or letting agency,65
E01026249,South Holland 010B,6,Private rented: Other private rented,21
E01026249,South Holland 010B,7,Lives rent free,0
E01026250,South Holland 003A,-8,Does not apply,0
E01026250,South Holland 003A,0,Owned: Owns outright,233
E01026250,South Holland 003A,1,Owned: Owns with a mortgage or loan,201
E01026250,South Holland 003A,2,Shared ownership: Shared ownership,22
E01026250,South Holland 003A,3,Social rented: Rents from council or Local Authority,108
E01026250,South Holland 003A,4,Social rented: Other social rented,71
E01026250,South Holland 003A,5,Private rented: Private landlord or letting agency,338
E01026250,South Holland 003A,6,Private rented: Other private rented,27
E01026250,South Holland 003A,7,Lives rent free,3
E01026251,South Holland 003B,-8,Does not apply,0
E01026251,South Holland 003B,0,Owned: Owns outright,456
E01026251,South Holland 003B,1,Owned: Owns with a mortgage or loan,238
E01026251,South Holland 003B,2,Shared ownership: Shared ownership,8
E01026251,South Holland 003B,3,Social rented: Rents from council or Local Authority,16
E01026251,South Holland 003B,4,Social rented: Other social rented,18
E01026251,South Holland 003B,5,Private rented: Private landlord or letting agency,61
E01026251,South Holland 003B,6,Private rented: Other private rented,15
E01026251,South Holland 003B,7,Lives rent free,0
E01026252,South Holland 003C,-8,Does not apply,0
E01026252,South Holland 003C,0,Owned: Owns outright,375
E01026252,South Holland 003C,1,Owned: Owns with a mortgage or loan,218
E01026252,South Holland 003C,2,Shared ownership: Shared ownership,1
E01026252,South Holland 003C,3,Social rented: Rents from council or Local Authority,81
E01026252,South Holland 003C,4,Social rented: Other social rented,8
E01026252,South Holland 003C,5,Private rented: Private landlord or letting agency,122
E01026252,South Holland 003C,6,Private rented: Other private rented,20
E01026252,South Holland 003C,7,Lives rent free,1
E01026253,South Holland 003D,-8,Does not apply,0
E01026253,South Holland 003D,0,Owned: Owns outright,342
E01026253,South Holland 003D,1,Owned: Owns with a mortgage or loan,235
E01026253,South Holland 003D,2,Shared ownership: Shared ownership,4
E01026253,South Holland 003D,3,Social rented: Rents from council or Local Authority,134
E01026253,South Holland 003D,4,Social rented: Other social rented,51
E01026253,South Holland 003D,5,Private rented: Private landlord or letting agency,114
E01026253,South Holland 003D,6,Private rented: Other private rented,14
E01026253,South Holland 003D,7,Lives rent free,0
E01026254,South Holland 008A,-8,Does not apply,0
E01026254,South Holland 008A,0,Owned: Owns outright,373
E01026254,South Holland 008A,1,Owned: Owns with a mortgage or loan,184
E01026254,South Holland 008A,2,Shared ownership: Shared ownership,6
E01026254,South Holland 008A,3,Social rented: Rents from council or Local Authority,144
E01026254,South Holland 008A,4,Social rented: Other social rented,50
E01026254,South Holland 008A,5,Private rented: Private landlord or letting agency,76
E01026254,South Holland 008A,6,Private rented: Other private rented,23
E01026254,South Holland 008A,7,Lives rent free,3
E01026255,South Holland 008B,-8,Does not apply,0
E01026255,South Holland 008B,0,Owned: Owns outright,434
E01026255,South Holland 008B,1,Owned: Owns with a mortgage or loan,207
E01026255,South Holland 008B,2,Shared ownership: Shared ownership,8
E01026255,South Holland 008B,3,Social rented: Rents from council or Local Authority,12
E01026255,South Holland 008B,4,Social rented: Other social rented,25
E01026255,South Holland 008B,5,Private rented: Private landlord or letting agency,194
E01026255,South Holland 008B,6,Private rented: Other private rented,24
E01026255,South Holland 008B,7,Lives rent free,0
E01026256,South Holland 008C,-8,Does not apply,0
E01026256,South Holland 008C,0,Owned: Owns outright,317
E01026256,South Holland 008C,1,Owned: Owns with a mortgage or loan,193
E01026256,South Holland 008C,2,Shared ownership: Shared ownership,4
E01026256,South Holland 008C,3,Social rented: Rents from council or Local Authority,107
E01026256,South Holland 008C,4,Social rented: Other social rented,29
E01026256,South Holland 008C,5,Private rented: Private landlord or letting agency,61
E01026256,South Holland 008C,6,Private rented: Other private rented,12
E01026256,South Holland 008C,7,Lives rent free,3
E01026257,South Holland 002C,-8,Does not apply,0
E01026257,South Holland 002C,0,Owned: Owns outright,550
E01026257,South Holland 002C,1,Owned: Owns with a mortgage or loan,232
E01026257,South Holland 002C,2,Shared ownership: Shared ownership,11
E01026257,South Holland 002C,3,Social rented: Rents from council or Local Authority,29
E01026257,South Holland 002C,4,Social rented: Other social rented,56
E01026257,South Holland 002C,5,Private rented: Private landlord or letting agency,73
E01026257,South Holland 002C,6,Private rented: Other private rented,18
E01026257,South Holland 002C,7,Lives rent free,2
E01026258,South Holland 005B,-8,Does not apply,0
E01026258,South Holland 005B,0,Owned: Owns outright,493
E01026258,South Holland 005B,1,Owned: Owns with a mortgage or loan,321
E01026258,South Holland 005B,2,Shared ownership: Shared ownership,41
E01026258,South Holland 005B,3,Social rented: Rents from council or Local Authority,11
E01026258,South Holland 005B,4,Social rented: Other social rented,28
E01026258,South Holland 005B,5,Private rented: Private landlord or letting agency,67
E01026258,South Holland 005B,6,Private rented: Other private rented,16
E01026258,South Holland 005B,7,Lives rent free,0
E01026259,South Holland 005C,-8,Does not apply,0
E01026259,South Holland 005C,0,Owned: Owns outright,294
E01026259,South Holland 005C,1,Owned: Owns with a mortgage or loan,247
E01026259,South Holland 005C,2,Shared ownership: Shared ownership,0
E01026259,South Holland 005C,3,Social rented: Rents from council or Local Authority,92
E01026259,South Holland 005C,4,Social rented: Other social rented,10
E01026259,South Holland 005C,5,Private rented: Private landlord or letting agency,58
E01026259,South Holland 005C,6,Private rented: Other private rented,11
E01026259,South Holland 005C,7,Lives rent free,0
E01026260,South Holland 005D,-8,Does not apply,0
E01026260,South Holland 005D,0,Owned: Owns outright,328
E01026260,South Holland 005D,1,Owned: Owns with a mortgage or loan,229
E01026260,South Holland 005D,2,Shared ownership: Shared ownership,8
E01026260,South Holland 005D,3,Social rented: Rents from council or Local Authority,119
E01026260,South Holland 005D,4,Social rented: Other social rented,51
E01026260,South Holland 005D,5,Private rented: Private landlord or letting agency,103
E01026260,South Holland 005D,6,Private rented: Other private rented,17
E01026260,South Holland 005D,7,Lives rent free,7
E01026262,South Holland 009A,-8,Does not apply,0
E01026262,South Holland 009A,0,Owned: Owns outright,330
E01026262,South Holland 009A,1,Owned: Owns with a mortgage or loan,205
E01026262,South Holland 009A,2,Shared ownership: Shared ownership,1
E01026262,South Holland 009A,3,Social rented: Rents from council or Local Authority,12
E01026262,South Holland 009A,4,Social rented: Other social rented,3
E01026262,South Holland 009A,5,Private rented: Private landlord or letting agency,78
E01026262,South Holland 009A,6,Private rented: Other private rented,16
E01026262,South Holland 009A,7,Lives rent free,0
E01026263,South Holland 009B,-8,Does not apply,0
E01026263,South Holland 009B,0,Owned: Owns outright,301
E01026263,South Holland 009B,1,Owned: Owns with a mortgage or loan,374
E01026263,South Holland 009B,2,Shared ownership: Shared ownership,28
E01026263,South Holland 009B,3,Social rented: Rents from council or Local Authority,37
E01026263,South Holland 009B,4,Social rented: Other social rented,24
E01026263,South Holland 009B,5,Private rented: Private landlord or letting agency,189
E01026263,South Holland 009B,6,Private rented: Other private rented,18
E01026263,South Holland 009B,7,Lives rent free,1
E01026264,South Holland 009C,-8,Does not apply,0
E01026264,South Holland 009C,0,Owned: Owns outright,225
E01026264,South Holland 009C,1,Owned: Owns with a mortgage or loan,165
E01026264,South Holland 009C,2,Shared ownership: Shared ownership,4
E01026264,South Holland 009C,3,Social rented: Rents from council or Local Authority,67
E01026264,South Holland 009C,4,Social rented: Other social rented,10
E01026264,South Holland 009C,5,Private rented: Private landlord or letting agency,168
E01026264,South Holland 009C,6,Private rented: Other private rented,16
E01026264,South Holland 009C,7,Lives rent free,1
E01026265,South Holland 009D,-8,Does not apply,0
E01026265,South Holland 009D,0,Owned: Owns outright,242
E01026265,South Holland 009D,1,Owned: Owns with a mortgage or loan,159
E01026265,South Holland 009D,2,Shared ownership: Shared ownership,1
E01026265,South Holland 009D,3,Social rented: Rents from council or Local Authority,52
E01026265,South Holland 009D,4,Social rented: Other social rented,2
E01026265,South Holland 009D,5,Private rented: Private landlord or letting agency,68
E01026265,South Holland 009D,6,Private rented: Other private rented,11
E01026265,South Holland 009D,7,Lives rent free,0
E01026266,South Holland 006B,-8,Does not apply,0
E01026266,South Holland 006B,0,Owned: Owns outright,233
E01026266,South Holland 006B,1,Owned: Owns with a mortgage or loan,156
E01026266,South Holland 006B,2,Shared ownership: Shared ownership,22
E01026266,South Holland 006B,3,Social rented: Rents from council or Local Authority,13
E01026266,South Holland 006B,4,Social rented: Other social rented,67
E01026266,South Holland 006B,5,Private rented: Private landlord or letting agency,543
E01026266,South Holland 006B,6,Private rented: Other private rented,31
E01026266,South Holland 006B,7,Lives rent free,2
E01026268,South Holland 007A,-8,Does not apply,0
E01026268,South Holland 007A,0,Owned: Owns outright,254
E01026268,South Holland 007A,1,Owned: Owns with a mortgage or loan,175
E01026268,South Holland 007A,2,Shared ownership: Shared ownership,4
E01026268,South Holland 007A,3,Social rented: Rents from council or Local Authority,226
E01026268,South Holland 007A,4,Social rented: Other social rented,15
E01026268,South Holland 007A,5,Private rented: Private landlord or letting agency,184
E01026268,South Holland 007A,6,Private rented: Other private rented,16
E01026268,South Holland 007A,7,Lives rent free,3
E01026269,South Holland 007B,-8,Does not apply,0
E01026269,South Holland 007B,0,Owned: Owns outright,496
E01026269,South Holland 007B,1,Owned: Owns with a mortgage or loan,261
E01026269,South Holland 007B,2,Shared ownership: Shared ownership,1
E01026269,South Holland 007B,3,Social rented: Rents from council or Local Authority,21
E01026269,South Holland 007B,4,Social rented: Other social rented,8
E01026269,South Holland 007B,5,Private rented: Private landlord or letting agency,133
E01026269,South Holland 007B,6,Private rented: Other private rented,22
E01026269,South Holland 007B,7,Lives rent free,1
E01026270,South Holland 007C,-8,Does not apply,0
E01026270,South Holland 007C,0,Owned: Owns outright,174
E01026270,South Holland 007C,1,Owned: Owns with a mortgage or loan,152
E01026270,South Holland 007C,2,Shared ownership: Shared ownership,4
E01026270,South Holland 007C,3,Social rented: Rents from council or Local Authority,160
E01026270,South Holland 007C,4,Social rented: Other social rented,63
E01026270,South Holland 007C,5,Private rented: Private landlord or letting agency,159
E01026270,South Holland 007C,6,Private rented: Other private rented,15
E01026270,South Holland 007C,7,Lives rent free,0
E01026271,South Holland 007D,-8,Does not apply,0
E01026271,South Holland 007D,0,Owned: Owns outright,136
E01026271,South Holland 007D,1,Owned: Owns with a mortgage or loan,134
E01026271,South Holland 007D,2,Shared ownership: Shared ownership,4
E01026271,South Holland 007D,3,Social rented: Rents from council or Local Authority,285
E01026271,South Holland 007D,4,Social rented: Other social rented,26
E01026271,South Holland 007D,5,Private rented: Private landlord or letting agency,149
E01026271,South Holland 007D,6,Private rented: Other private rented,12
E01026271,South Holland 007D,7,Lives rent free,9
E01026272,South Holland 007E,-8,Does not apply,0
E01026272,South Holland 007E,0,Owned: Owns outright,228
E01026272,South Holland 007E,1,Owned: Owns with a mortgage or loan,151
E01026272,South Holland 007E,2,Shared ownership: Shared ownership,1
E01026272,South Holland 007E,3,Social rented: Rents from council or Local Authority,42
E01026272,South Holland 007E,4,Social rented: Other social rented,13
E01026272,South Holland 007E,5,Private rented: Private landlord or letting agency,153
E01026272,South Holland 007E,6,Private rented: Other private rented,10
E01026272,South Holland 007E,7,Lives rent free,2
E01026273,South Holland 006C,-8,Does not apply,0
E01026273,South Holland 006C,0,Owned: Owns outright,396
E01026273,South Holland 006C,1,Owned: Owns with a mortgage or loan,251
E01026273,South Holland 006C,2,Shared ownership: Shared ownership,2
E01026273,South Holland 006C,3,Social rented: Rents from council or Local Authority,6
E01026273,South Holland 006C,4,Social rented: Other social rented,10
E01026273,South Holland 006C,5,Private rented: Private landlord or letting agency,68
E01026273,South Holland 006C,6,Private rented: Other private rented,9
E01026273,South Holland 006C,7,Lives rent free,0
E01026275,South Holland 006E,-8,Does not apply,0
E01026275,South Holland 006E,0,Owned: Owns outright,262
E01026275,South Holland 006E,1,Owned: Owns with a mortgage or loan,412
E01026275,South Holland 006E,2,Shared ownership: Shared ownership,15
E01026275,South Holland 006E,3,Social rented: Rents from council or Local Authority,129
E01026275,South Holland 006E,4,Social rented: Other social rented,38
E01026275,South Holland 006E,5,Private rented: Private landlord or letting agency,239
E01026275,South Holland 006E,6,Private rented: Other private rented,16
E01026275,South Holland 006E,7,Lives rent free,4
E01026276,South Holland 001E,-8,Does not apply,0
E01026276,South Holland 001E,0,Owned: Owns outright,514
E01026276,South Holland 001E,1,Owned: Owns with a mortgage or loan,276
E01026276,South Holland 001E,2,Shared ownership: Shared ownership,4
E01026276,South Holland 001E,3,Social rented: Rents from council or Local Authority,76
E01026276,South Holland 001E,4,Social rented: Other social rented,6
E01026276,South Holland 001E,5,Private rented: Private landlord or letting agency,79
E01026276,South Holland 001E,6,Private rented: Other private rented,27
E01026276,South Holland 001E,7,Lives rent free,0
E01026277,South Holland 008D,-8,Does not apply,0
E01026277,South Holland 008D,0,Owned: Owns outright,159
E01026277,South Holland 008D,1,Owned: Owns with a mortgage or loan,171
E01026277,South Holland 008D,2,Shared ownership: Shared ownership,5
E01026277,South Holland 008D,3,Social rented: Rents from council or Local Authority,189
E01026277,South Holland 008D,4,Social rented: Other social rented,21
E01026277,South Holland 008D,5,Private rented: Private landlord or letting agency,160
E01026277,South Holland 008D,6,Private rented: Other private rented,12
E01026277,South Holland 008D,7,Lives rent free,3
E01026278,South Holland 008E,-8,Does not apply,0
E01026278,South Holland 008E,0,Owned: Owns outright,294
E01026278,South Holland 008E,1,Owned: Owns with a mortgage or loan,182
E01026278,South Holland 008E,2,Shared ownership: Shared ownership,1
E01026278,South Holland 008E,3,Social rented: Rents from council or Local Authority,7
E01026278,South Holland 008E,4,Social rented: Other social rented,13
E01026278,South Holland 008E,5,Private rented: Private landlord or letting agency,109
E01026278,South Holland 008E,6,Private rented: Other private rented,23
E01026278,South Holland 008E,7,Lives rent free,1
E01026279,South Holland 008F,-8,Does not apply,0
E01026279,South Holland 008F,0,Owned: Owns outright,286
E01026279,South Holland 008F,1,Owned: Owns with a mortgage or loan,172
E01026279,South Holland 008F,2,Shared ownership: Shared ownership,3
E01026279,South Holland 008F,3,Social rented: Rents from council or Local Authority,26
E01026279,South Holland 008F,4,Social rented: Other social rented,33
E01026279,South Holland 008F,5,Private rented: Private landlord or letting agency,88
E01026279,South Holland 008F,6,Private rented: Other private rented,12
E01026279,South Holland 008F,7,Lives rent free,0
E01026280,South Holland 010C,-8,Does not apply,0
E01026280,South Holland 010C,0,Owned: Owns outright,547
E01026280,South Holland 010C,1,Owned: Owns with a mortgage or loan,335
E01026280,South Holland 010C,2,Shared ownership: Shared ownership,1
E01026280,South Holland 010C,3,Social rented: Rents from council or Local Authority,102
E01026280,South Holland 010C,4,Social rented: Other social rented,19
E01026280,South Holland 010C,5,Private rented: Private landlord or letting agency,84
E01026280,South Holland 010C,6,Private rented: Other private rented,29
E01026280,South Holland 010C,7,Lives rent free,1
E01026281,South Holland 004A,-8,Does not apply,0
E01026281,South Holland 004A,0,Owned: Owns outright,311
E01026281,South Holland 004A,1,Owned: Owns with a mortgage or loan,186
E01026281,South Holland 004A,2,Shared ownership: Shared ownership,8
E01026281,South Holland 004A,3,Social rented: Rents from council or Local Authority,25
E01026281,South Holland 004A,4,Social rented: Other social rented,2
E01026281,South Holland 004A,5,Private rented: Private landlord or letting agency,38
E01026281,South Holland 004A,6,Private rented: Other private rented,15
E01026281,South Holland 004A,7,Lives rent free,0
E01026282,South Holland 004B,-8,Does not apply,0
E01026282,South Holland 004B,0,Owned: Owns outright,310
E01026282,South Holland 004B,1,Owned: Owns with a mortgage or loan,209
E01026282,South Holland 004B,2,Shared ownership: Shared ownership,10
E01026282,South Holland 004B,3,Social rented: Rents from council or Local Authority,145
E01026282,South Holland 004B,4,Social rented: Other social rented,17
E01026282,South Holland 004B,5,Private rented: Private landlord or letting agency,59
E01026282,South Holland 004B,6,Private rented: Other private rented,12
E01026282,South Holland 004B,7,Lives rent free,3
E01026283,South Holland 004C,-8,Does not apply,0
E01026283,South Holland 004C,0,Owned: Owns outright,403
E01026283,South Holland 004C,1,Owned: Owns with a mortgage or loan,215
E01026283,South Holland 004C,2,Shared ownership: Shared ownership,7
E01026283,South Holland 004C,3,Social rented: Rents from council or Local Authority,36
E01026283,South Holland 004C,4,Social rented: Other social rented,6
E01026283,South Holland 004C,5,Private rented: Private landlord or letting agency,62
E01026283,South Holland 004C,6,Private rented: Other private rented,21
E01026283,South Holland 004C,7,Lives rent free,0
E01026284,South Holland 011C,-8,Does not apply,0
E01026284,South Holland 011C,0,Owned: Owns outright,400
E01026284,South Holland 011C,1,Owned: Owns with a mortgage or loan,358
E01026284,South Holland 011C,2,Shared ownership: Shared ownership,18
E01026284,South Holland 011C,3,Social rented: Rents from council or Local Authority,74
E01026284,South Holland 011C,4,Social rented: Other social rented,30
E01026284,South Holland 011C,5,Private rented: Private landlord or letting agency,74
E01026284,South Holland 011C,6,Private rented: Other private rented,17
E01026284,South Holland 011C,7,Lives rent free,1
E01026285,South Holland 004D,-8,Does not apply,0
E01026285,South Holland 004D,0,Owned: Owns outright,326
E01026285,South Holland 004D,1,Owned: Owns with a mortgage or loan,178
E01026285,South Holland 004D,2,Shared ownership: Shared ownership,4
E01026285,South Holland 004D,3,Social rented: Rents from council or Local Authority,37
E01026285,South Holland 004D,4,Social rented: Other social rented,8
E01026285,South Holland 004D,5,Private rented: Private landlord or letting agency,48
E01026285,South Holland 004D,6,Private rented: Other private rented,17
E01026285,South Holland 004D,7,Lives rent free,2
E01026286,South Holland 004E,-8,Does not apply,0
E01026286,South Holland 004E,0,Owned: Owns outright,223
E01026286,South Holland 004E,1,Owned: Owns with a mortgage or loan,161
E01026286,South Holland 004E,2,Shared ownership: Shared ownership,5
E01026286,South Holland 004E,3,Social rented: Rents from council or Local Authority,45
E01026286,South Holland 004E,4,Social rented: Other social rented,30
E01026286,South Holland 004E,5,Private rented: Private landlord or letting agency,51
E01026286,South Holland 004E,6,Private rented: Other private rented,14
E01026286,South Holland 004E,7,Lives rent free,0
E01026287,South Kesteven 015A,-8,Does not apply,0
E01026287,South Kesteven 015A,0,Owned: Owns outright,253
E01026287,South Kesteven 015A,1,Owned: Owns with a mortgage or loan,145
E01026287,South Kesteven 015A,2,Shared ownership: Shared ownership,3
E01026287,South Kesteven 015A,3,Social rented: Rents from council or Local Authority,92
E01026287,South Kesteven 015A,4,Social rented: Other social rented,12
E01026287,South Kesteven 015A,5,Private rented: Private landlord or letting agency,89
E01026287,South Kesteven 015A,6,Private rented: Other private rented,17
E01026287,South Kesteven 015A,7,Lives rent free,1
E01026288,South Kesteven 015B,-8,Does not apply,0
E01026288,South Kesteven 015B,0,Owned: Owns outright,148
E01026288,South Kesteven 015B,1,Owned: Owns with a mortgage or loan,157
E01026288,South Kesteven 015B,2,Shared ownership: Shared ownership,22
E01026288,South Kesteven 015B,3,Social rented: Rents from council or Local Authority,296
E01026288,South Kesteven 015B,4,Social rented: Other social rented,24
E01026288,South Kesteven 015B,5,Private rented: Private landlord or letting agency,84
E01026288,South Kesteven 015B,6,Private rented: Other private rented,13
E01026288,South Kesteven 015B,7,Lives rent free,1
E01026289,South Kesteven 015C,-8,Does not apply,0
E01026289,South Kesteven 015C,0,Owned: Owns outright,337
E01026289,South Kesteven 015C,1,Owned: Owns with a mortgage or loan,328
E01026289,South Kesteven 015C,2,Shared ownership: Shared ownership,30
E01026289,South Kesteven 015C,3,Social rented: Rents from council or Local Authority,71
E01026289,South Kesteven 015C,4,Social rented: Other social rented,60
E01026289,South Kesteven 015C,5,Private rented: Private landlord or letting agency,152
E01026289,South Kesteven 015C,6,Private rented: Other private rented,17
E01026289,South Kesteven 015C,7,Lives rent free,1
E01026290,South Kesteven 008A,-8,Does not apply,0
E01026290,South Kesteven 008A,0,Owned: Owns outright,427
E01026290,South Kesteven 008A,1,Owned: Owns with a mortgage or loan,291
E01026290,South Kesteven 008A,2,Shared ownership: Shared ownership,3
E01026290,South Kesteven 008A,3,Social rented: Rents from council or Local Authority,99
E01026290,South Kesteven 008A,4,Social rented: Other social rented,9
E01026290,South Kesteven 008A,5,Private rented: Private landlord or letting agency,82
E01026290,South Kesteven 008A,6,Private rented: Other private rented,28
E01026290,South Kesteven 008A,7,Lives rent free,0
E01026291,South Kesteven 002A,-8,Does not apply,0
E01026291,South Kesteven 002A,0,Owned: Owns outright,441
E01026291,South Kesteven 002A,1,Owned: Owns with a mortgage or loan,284
E01026291,South Kesteven 002A,2,Shared ownership: Shared ownership,2
E01026291,South Kesteven 002A,3,Social rented: Rents from council or Local Authority,64
E01026291,South Kesteven 002A,4,Social rented: Other social rented,30
E01026291,South Kesteven 002A,5,Private rented: Private landlord or letting agency,60
E01026291,South Kesteven 002A,6,Private rented: Other private rented,10
E01026291,South Kesteven 002A,7,Lives rent free,0
E01026292,South Kesteven 007A,-8,Does not apply,0
E01026292,South Kesteven 007A,0,Owned: Owns outright,315
E01026292,South Kesteven 007A,1,Owned: Owns with a mortgage or loan,206
E01026292,South Kesteven 007A,2,Shared ownership: Shared ownership,0
E01026292,South Kesteven 007A,3,Social rented: Rents from council or Local Authority,1
E01026292,South Kesteven 007A,4,Social rented: Other social rented,3
E01026292,South Kesteven 007A,5,Private rented: Private landlord or letting agency,99
E01026292,South Kesteven 007A,6,Private rented: Other private rented,13
E01026292,South Kesteven 007A,7,Lives rent free,0
E01026293,South Kesteven 007B,-8,Does not apply,0
E01026293,South Kesteven 007B,0,Owned: Owns outright,318
E01026293,South Kesteven 007B,1,Owned: Owns with a mortgage or loan,310
E01026293,South Kesteven 007B,2,Shared ownership: Shared ownership,1
E01026293,South Kesteven 007B,3,Social rented: Rents from council or Local Authority,4
E01026293,South Kesteven 007B,4,Social rented: Other social rented,3
E01026293,South Kesteven 007B,5,Private rented: Private landlord or letting agency,186
E01026293,South Kesteven 007B,6,Private rented: Other private rented,44
E01026293,South Kesteven 007B,7,Lives rent free,0
E01026294,South Kesteven 007C,-8,Does not apply,0
E01026294,South Kesteven 007C,0,Owned: Owns outright,234
E01026294,South Kesteven 007C,1,Owned: Owns with a mortgage or loan,272
E01026294,South Kesteven 007C,2,Shared ownership: Shared ownership,4
E01026294,South Kesteven 007C,3,Social rented: Rents from council or Local Authority,4
E01026294,South Kesteven 007C,4,Social rented: Other social rented,13
E01026294,South Kesteven 007C,5,Private rented: Private landlord or letting agency,122
E01026294,South Kesteven 007C,6,Private rented: Other private rented,8
E01026294,South Kesteven 007C,7,Lives rent free,0
E01026296,South Kesteven 011B,-8,Does not apply,0
E01026296,South Kesteven 011B,0,Owned: Owns outright,387
E01026296,South Kesteven 011B,1,Owned: Owns with a mortgage or loan,182
E01026296,South Kesteven 011B,2,Shared ownership: Shared ownership,1
E01026296,South Kesteven 011B,3,Social rented: Rents from council or Local Authority,23
E01026296,South Kesteven 011B,4,Social rented: Other social rented,1
E01026296,South Kesteven 011B,5,Private rented: Private landlord or letting agency,50
E01026296,South Kesteven 011B,6,Private rented: Other private rented,15
E01026296,South Kesteven 011B,7,Lives rent free,0
E01026297,South Kesteven 011C,-8,Does not apply,0
E01026297,South Kesteven 011C,0,Owned: Owns outright,288
E01026297,South Kesteven 011C,1,Owned: Owns with a mortgage or loan,141
E01026297,South Kesteven 011C,2,Shared ownership: Shared ownership,15
E01026297,South Kesteven 011C,3,Social rented: Rents from council or Local Authority,117
E01026297,South Kesteven 011C,4,Social rented: Other social rented,28
E01026297,South Kesteven 011C,5,Private rented: Private landlord or letting agency,66
E01026297,South Kesteven 011C,6,Private rented: Other private rented,8
E01026297,South Kesteven 011C,7,Lives rent free,2
E01026298,South Kesteven 011D,-8,Does not apply,0
E01026298,South Kesteven 011D,0,Owned: Owns outright,235
E01026298,South Kesteven 011D,1,Owned: Owns with a mortgage or loan,246
E01026298,South Kesteven 011D,2,Shared ownership: Shared ownership,4
E01026298,South Kesteven 011D,3,Social rented: Rents from council or Local Authority,170
E01026298,South Kesteven 011D,4,Social rented: Other social rented,71
E01026298,South Kesteven 011D,5,Private rented: Private landlord or letting agency,293
E01026298,South Kesteven 011D,6,Private rented: Other private rented,26
E01026298,South Kesteven 011D,7,Lives rent free,3
E01026299,South Kesteven 010A,-8,Does not apply,0
E01026299,South Kesteven 010A,0,Owned: Owns outright,287
E01026299,South Kesteven 010A,1,Owned: Owns with a mortgage or loan,182
E01026299,South Kesteven 010A,2,Shared ownership: Shared ownership,6
E01026299,South Kesteven 010A,3,Social rented: Rents from council or Local Authority,104
E01026299,South Kesteven 010A,4,Social rented: Other social rented,21
E01026299,South Kesteven 010A,5,Private rented: Private landlord or letting agency,128
E01026299,South Kesteven 010A,6,Private rented: Other private rented,14
E01026299,South Kesteven 010A,7,Lives rent free,2
E01026300,South Kesteven 010B,-8,Does not apply,0
E01026300,South Kesteven 010B,0,Owned: Owns outright,387
E01026300,South Kesteven 010B,1,Owned: Owns with a mortgage or loan,197
E01026300,South Kesteven 010B,2,Shared ownership: Shared ownership,0
E01026300,South Kesteven 010B,3,Social rented: Rents from council or Local Authority,4
E01026300,South Kesteven 010B,4,Social rented: Other social rented,1
E01026300,South Kesteven 010B,5,Private rented: Private landlord or letting agency,40
E01026300,South Kesteven 010B,6,Private rented: Other private rented,7
E01026300,South Kesteven 010B,7,Lives rent free,0
